path_index	ID	pa_Symbol	is_disease
0	path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0
1	path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	0
2	path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	0
3	path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	0
4	path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0
5	path:hsa00052	Galactose metabolism - Homo sapiens (human)	0
6	path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	0
7	path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0
8	path:hsa00062	Fatty acid elongation - Homo sapiens (human)	0
9	path:hsa00071	Fatty acid degradation - Homo sapiens (human)	0
10	path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	0
11	path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	0
12	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	0
13	path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	0
14	path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	0
15	path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	0
16	path:hsa00230	Purine metabolism - Homo sapiens (human)	0
17	path:hsa00232	Caffeine metabolism - Homo sapiens (human)	0
18	path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	0
19	path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	0
20	path:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	0
21	path:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)	0
22	path:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	0
23	path:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	0
24	path:hsa00310	Lysine degradation - Homo sapiens (human)	0
25	path:hsa00330	Arginine and proline metabolism - Homo sapiens (human)	0
26	path:hsa00340	Histidine metabolism - Homo sapiens (human)	0
27	path:hsa00350	Tyrosine metabolism - Homo sapiens (human)	0
28	path:hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0
29	path:hsa00380	Tryptophan metabolism - Homo sapiens (human)	0
30	path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)	0
31	path:hsa00410	beta-Alanine metabolism - Homo sapiens (human)	0
32	path:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)	0
33	path:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	0
34	path:hsa00450	Selenocompound metabolism - Homo sapiens (human)	0
35	path:hsa00470	D-Amino acid metabolism - Homo sapiens (human)	0
36	path:hsa00480	Glutathione metabolism - Homo sapiens (human)	0
37	path:hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	0
38	path:hsa00510	N-Glycan biosynthesis - Homo sapiens (human)	0
39	path:hsa00511	Other glycan degradation - Homo sapiens (human)	0
40	path:hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	0
41	path:hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)	0
42	path:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	0
43	path:hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)	0
44	path:hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	0
45	path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	0
46	path:hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)	0
47	path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	0
48	path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	0
49	path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	0
50	path:hsa00561	Glycerolipid metabolism - Homo sapiens (human)	0
51	path:hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	0
52	path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	0
53	path:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	0
54	path:hsa00565	Ether lipid metabolism - Homo sapiens (human)	0
55	path:hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0
56	path:hsa00591	Linoleic acid metabolism - Homo sapiens (human)	0
57	path:hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	0
58	path:hsa00600	Sphingolipid metabolism - Homo sapiens (human)	0
59	path:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	0
60	path:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	0
61	path:hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	0
62	path:hsa00620	Pyruvate metabolism - Homo sapiens (human)	0
63	path:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	0
64	path:hsa00640	Propanoate metabolism - Homo sapiens (human)	0
65	path:hsa00650	Butanoate metabolism - Homo sapiens (human)	0
66	path:hsa00670	One carbon pool by folate - Homo sapiens (human)	0
67	path:hsa00730	Thiamine metabolism - Homo sapiens (human)	0
68	path:hsa00740	Riboflavin metabolism - Homo sapiens (human)	0
69	path:hsa00750	Vitamin B6 metabolism - Homo sapiens (human)	0
70	path:hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	0
71	path:hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)	0
72	path:hsa00780	Biotin metabolism - Homo sapiens (human)	0
73	path:hsa00785	Lipoic acid metabolism - Homo sapiens (human)	0
74	path:hsa00790	Folate biosynthesis - Homo sapiens (human)	0
75	path:hsa00830	Retinol metabolism - Homo sapiens (human)	0
76	path:hsa00860	Porphyrin metabolism - Homo sapiens (human)	0
77	path:hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	0
78	path:hsa00910	Nitrogen metabolism - Homo sapiens (human)	0
79	path:hsa00920	Sulfur metabolism - Homo sapiens (human)	0
80	path:hsa00970	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	0
81	path:hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	0
82	path:hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	0
83	path:hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	0
84	path:hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	0
85	path:hsa01100	Metabolic pathways - Homo sapiens (human)	0
86	path:hsa01200	Carbon metabolism - Homo sapiens (human)	0
87	path:hsa01210	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	0
88	path:hsa01212	Fatty acid metabolism - Homo sapiens (human)	0
89	path:hsa01230	Biosynthesis of amino acids - Homo sapiens (human)	0
90	path:hsa01240	Biosynthesis of cofactors - Homo sapiens (human)	0
91	path:hsa01250	Biosynthesis of nucleotide sugars - Homo sapiens (human)	0
92	path:hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	0
93	path:hsa01522	Endocrine resistance - Homo sapiens (human)	0
94	path:hsa01523	Antifolate resistance - Homo sapiens (human)	0
